name,id,region_id
Апеляційний суд Вінницької області,1,2
Барський районний суд Вінницької області,2,2
Бершадський районний суд Вінницької області,3,2
Вінницький апеляційний адміністративний суд,4,2
Вінницький міський суд Вінницької області,5,2
Вінницький окружний адміністративний суд,6,2
Вінницький районний суд Вінницької області,7,2
Гайсинський районний суд Вінницької області,8,2
Господарський суд Вінницької області,9,2
Жмеринський міськрайонний суд Вінницької області,10,2
Замостянський районний суд м.Вінниці,11,2
Іллінецький районний суд Вінницької області,12,2
Калинівський районний суд Вінницької області,13,2
Козятинський міськрайонний суд Вінницької області,14,2
Крижопільський районний суд Вінницької області,15,2
Ладижинський міський суд Вінницької області,16,2
Ленінський районний суд м.Вінниці,17,2
Липовецький районний суд Вінницької області,18,2
Літинський районний суд Вінницької області,19,2
Могилів-Подільський міськрайонний суд Вінницької області,20,2
Мурованокуриловецький районний суд Вінницької області,21,2
Немирівський районний суд Вінницької області,22,2
Оратівський районний суд Вінницької області,23,2
Піщанський районний суд Вінницької області,24,2
Погребищенський районний суд Вінницької області,25,2
Староміський районний суд м.Вінниці,26,2
Теплицький районний суд Вінницької області,27,2
Тиврівський районний суд Вінницької області,28,2
Томашпільський районний суд Вінницької області,29,2
Тростянецький районний суд Вінницької області,30,2
Тульчинський районний суд Вінницької області,31,2
Хмільницький міськрайонний суд Вінницької області,32,2
Чернівецький районний суд Вінницької області,33,2
Чечельницький районний суд Вінницької області,34,2
Шаргородський районний суд Вінницької області,35,2
Ямпільський районний суд Вінницької області,36,2
Апеляційний суд Волинської області,37,3
Волинський окружний адміністративний суд,38,3
Володимир-Волинський міський суд Волинської області,39,3
Горохівський районний суд Волинської області,40,3
Господарський суд Волинської області,41,3
Іваничівський районний суд Волинської області,42,3
Камінь-Каширський районний суд Волинської області,43,3
Ківерцівський районний суд Волинської області,44,3
Ковельський міськрайонний суд Волинської області,45,3
Локачинський районний суд Волинської області,46,3
Луцький міськрайонний суд Волинської області,47,3
Любешівський районний суд Волинської області,48,3
Любомльський районний суд Волинської області,49,3
Маневицький районний суд Волинської області,50,3
Нововолинський міський суд Волинської області,51,3
Ратнівський районний суд Волинської області,52,3
Рожищенський районний суд Волинської області,53,3
Старовижівський районний суд Волинської області,54,3
Турійський районний суд Волинської області,55,3
Шацький районний суд Волинської області,56,3
Амур-Нижньодніпровський районний суд м.Дніпропетровська,57,4
Апеляційний суд Дніпропетровської області ( м. Дніпропетровськ),58,4
Апеляційний суд Дніпропетровської області ( м. Кривий Ріг),59,4
Апостолівський районний суд Дніпропетровської області,60,4
Бабушкінський районний суд м.Дніпропетровська,61,4
Баглійський районний суд м.Дніпродзержинська,62,4
Васильківський районний суд Дніпропетровської області,63,4
Верхньодніпровський районний суд Дніпропетровської області,64,4
Вільногірський міський суд Дніпропетровської області,65,4
Господарський суд Дніпропетровської області,66,4
Дзержинський районний суд м.Кривого Рогу,67,4
Дніпровський районний суд м.Дніпродзержинська,68,4
Дніпропетровський апеляційний адміністративний суд,69,4
Дніпропетровський апеляційний господарський суд,70,4
Дніпропетровський окружний адміністративний суд,71,4
Дніпропетровський районний суд Дніпропетровської області,72,4
Довгинцівський районний суд м.Кривого Рогу,73,4
Жовтневий районний суд м.Дніпропетровська,74,4
Жовтневий районний суд м.Кривого Рогу,75,4
Жовтоводський міський суд Дніпропетровської області,76,4
Заводський районний суд м.Дніпродзержинська,77,4
Інгулецький районний суд м.Кривого Рогу,78,4
Індустріальний районний суд м.Дніпропетровська,79,4
Кіровський районний суд м.Дніпропетровська,80,4
Красногвардійський районний суд м.Дніпропетровська,81,4
Криворізький районний суд Дніпропетровської області,82,4
Криничанський районний суд Дніпропетровської області,83,4
Ленінський районний суд м.Дніпропетровська,84,4
Магдалинівський районний суд Дніпропетровської області,85,4
Марганецький міський суд Дніпропетровської області,86,4
Межівський районний суд Дніпропетровської області,87,4
Нікопольський міськрайонний суд Дніпропетровської області,88,4
Новомосковський міськрайонний суд Дніпропетровської області,89,4
Орджонікідзевський міський суд Дніпропетровської області,90,4
П'ятихатський районний суд Дніпропетровської області,91,4
Павлоградський міськрайонний суд Дніпропетровської області,92,4
Першотравенський міський суд Дніпропетровської області,93,4
Петриківський районний суд Дніпропетровської області,94,4
Петропавлівський районний суд Дніпропетровської області,95,4
Покровський районний суд Дніпропетровської області,96,4
Саксаганський районний суд м.Кривого Рогу,97,4
Самарський районний суд м.Дніпропетровська,98,4
Синельниківський міськрайонний суд Дніпропетровської області,99,4
Солонянський районний суд Дніпропетровської області,100,4
Софіївський районний суд Дніпропетровської області,101,4
Тернівський міський суд Дніпропетровської області,102,4
Тернівський районний суд м.Кривого Рогу,103,4
Томаківський районний суд Дніпропетровської області,104,4
Царичанський районний суд Дніпропетровської області,105,4
Центрально-Міський районний суд м.Кривого Рогу,106,4
Широківський районний суд Дніпропетровської області,107,4
Юр'ївський районний суд Дніпропетровської області,108,4
Авдіївський міський суд Донецької області,109,5
Амвросіївський районний суд Донецької області,110,5
Апеляційний суд Донецької області (м. Артемівськ),111,5
Апеляційний суд Донецької області (м. Донецьк),112,5
Апеляційний суд Донецької області (м. Маріуполь),113,5
Артемівський міськрайонний суд Донецької області,114,5
Будьоннівський районний суд м.Донецька,115,5
Великоновосілківський районний суд Донецької області,116,5
Волноваський районний суд Донецької області,117,5
Володарський районний суд Донецької області,118,5
Ворошиловський районний суд м. Донецька,119,5
Вугледарський міський суд Донецької області,120,5
Гірницький районний суд м.Макіївки,121,5
Господарський суд Донецької області,122,5
Дебальцевський міський суд Донецької області,123,5
Дзержинський міський суд Донецької області,124,5
Димитровський міський суд Донецької області,125,5
Добропільський міськрайонний суд Донецької області,126,5
Докучаєвський міський суд Донецької області,127,5
Донецький апеляційний адміністративний суд,128,5
Донецький апеляційний господарський суд,129,5
Донецький окружний адміністративний суд,130,5
Дружківський міський суд Донецької області,131,5
Єнакіївський міський суд Донецької області,132,5
Жданівський міський суд Донецької області,133,5
Жовтневий районний суд м.Маріуполя,134,5
Іллічівський районний суд м.Маріуполя,135,5
Калінінський районний суд м.Горлівки,136,5
Калінінський районний суд м.Донецька,137,5
Київський районний суд м.Донецька,138,5
Кіровський міський суд Донецької області,139,5
Кіровський районний суд м.Макіївки,140,5
Кіровський районний суд м.Донецька,141,5
Костянтинівський міськрайонний суд Донецької області,142,5
Краматорська філія апеляційного суду Донецької обл.,143,5
Краматорський міський суд Донецької області,144,5
Красноармійський міськрайонний суд Донецької області,145,5
Краснолиманський міський суд Донецької області,146,5
Куйбишевський районний суд м.Донецька,147,5
Ленінський районний суд м.Донецька,148,5
Мар`їнський районний суд Донецької області,149,5
Микитівський районний суд м.Горлівки,150,5
Новоазовський районний суд Донецької області,151,5
Новогродівський міський суд Донецької області,152,5
Олександрівський районний суд Донецької області,153,5
Орджонікідзевський районний суд м.Маріуполя,154,5
Першотравневий районний суд Донецької області,155,5
Петровський районний суд м.Донецька,156,5
Приморський районний суд м.Маріуполя,157,5
Пролетарський районний суд м.Донецька,158,5
Селидівський міський суд Донецької області,159,5
Слов'янський міськрайонний суд Донецької області,160,5
Сніжнянський міський суд Донецької області,161,5
Совєтський районний суд м.Макіївки,162,5
Старобешівський районний суд Донецької області,163,5
Тельманівський районний суд Донецької області,164,5
Торезький міський суд Донецької області,165,5
Харцизький міський суд Донецької області,166,5
Центрально-Міський районний суд м.Горлівки,167,5
Центрально-Міський районний суд м.Макіївки,168,5
Червоногвардійський районний суд м.Макіївки,169,5
Шахтарський міськрайонний суд Донецької області,170,5
Ясинуватський міськрайонний суд Донецької області,171,5
Андрушівський районний суд Житомирської області,172,6
Апеляційний суд Житомирської області,173,6
Баранівський районний суд Житомирської області,174,6
Бердичівський міськрайонний суд Житомирської області,175,6
Богунський районний суд м. Житомира,176,6
Брусилівський районний суд Житомирської області,177,6
Володарсько-Волинський районний суд Житомирської області,178,6
Господарський суд Житомирської області,179,6
Ємільчинський районний суд Житомирської області,180,6
Житомирський апеляційний адміністративний суд,181,6
Житомирський апеляційний господарський суд,182,6
Житомирський окружний адміністративний суд,183,6
Житомирський районний суд Житомирської області,184,6
Корольовський районний суд м. Житомира,185,6
Коростенський міськрайонний суд Житомирської області,186,6
